Bin,Species,TTT,Date,Day,Crown,Ht
E2,SCBI,G+,16-Dec,73,21.5,20
E3,LOCA,G-,16-Dec,73,51.5,28
E4,SCBI,G+,16-Dec,73,37,27
F1,DICI,G+,16-Dec,73,92.5,93
F2,SCBI,G+,16-Dec,73,31,31
F3,DICI,G+,16-Dec,73,59,53
F4,LOCA,G+,16-Dec,73,58,13
A1,DICI,G-,10-Jan,98,146,106
A2,SCBI,G-,10-Jan,98,59,34
A3,LOCA,G-,10-Jan,98,47,43
A4,LOCA,G+,10-Jan,98,62,28
B1,DICI,G+,10-Jan,98,123.5,91
B2,SCBI,G-,10-Jan,98,56,38
B3,LOCA,G+,10-Jan,98,61.5,32
B4,DICI,G-,10-Jan,98,95,97
C1,SCBI,G+,10-Jan,98,36.5,30
C2,DICI,G-,10-Jan,98,115.5,89
C3,LOCA,G-,10-Jan,98,61,55
C4,SCBI,G-,10-Jan,98,61.5,27
D1,LOCA,G-,10-Jan,98,65.5,29
D2,DICI,G+,10-Jan,98,105,95
D3,SCBI,G-,10-Jan,98,53.5,39
D4,LOCA,G+,10-Jan,98,55.5,36
E1,DICI,G-,10-Jan,98,128,94
E2,SCBI,G+,10-Jan,98,21.5,21
E3,LOCA,G-,10-Jan,98,52.5,28
E4,SCBI,G+,10-Jan,98,39,27
F1,DICI,G+,10-Jan,98,98.5,115
F2,SCBI,G+,10-Jan,98,32,32
F3,DICI,G+,10-Jan,98,63,68
F4,LOCA,G+,10-Jan,98,60.5,18
A1,DICI,G-,25-Jan,113,159.5,116
A2,SCBI,G-,25-Jan,113,59,34
A3,LOCA,G-,25-Jan,113,47.5,45
A4,LOCA,G+,25-Jan,113,62.5,29
B1,DICI,G+,25-Jan,113,147,103
B2,SCBI,G-,25-Jan,113,56,40
B3,LOCA,G+,25-Jan,113,61.5,33
B4,DICI,G-,25-Jan,113,105.5,108
C1,SCBI,G+,25-Jan,113,37.5,32
C2,DICI,G-,25-Jan,113,151.5,94
C3,LOCA,G-,25-Jan,113,61,55
C4,SCBI,G-,25-Jan,113,63,27
D1,LOCA,G-,25-Jan,113,65.5,29
D2,DICI,G+,25-Jan,113,110,100
D3,SCBI,G-,25-Jan,113,49.5,40
D4,LOCA,G+,25-Jan,113,55.5,36
E1,DICI,G-,25-Jan,113,148.5,107
E2,SCBI,G+,25-Jan,113,21.5,21
E3,LOCA,G-,25-Jan,113,52.5,33
E4,SCBI,G+,25-Jan,113,40,27
F2,SCBI,G+,25-Jan,113,29,32
F3,DICI,G+,25-Jan,113,77.5,76
F4,LOCA,G+,25-Jan,113,60.5,18
A1,DICI,G-,1-Feb,120,169.5,131
A2,SCBI,G-,1-Feb,120,59,34
A3,LOCA,G-,1-Feb,120,47.5,45
A4,LOCA,G+,1-Feb,120,48,29
B1,DICI,G+,1-Feb,120,148,108
B2,SCBI,G-,1-Feb,120,56.5,40
B3,LOCA,G+,1-Feb,120,55.5,34
B4,DICI,G-,1-Feb,120,117.5,112
C1,SCBI,G+,1-Feb,120,36.5,31
C2,DICI,G-,1-Feb,120,160.5,101
C3,LOCA,G-,1-Feb,120,61,55
C4,SCBI,G-,1-Feb,120,63,27
D1,LOCA,G-,1-Feb,120,65.5,30
D2,DICI,G+,1-Feb,120,123,107
D3,SCBI,G-,1-Feb,120,49.5,41
D4,LOCA,G+,1-Feb,120,55.5,36
E1,DICI,G-,1-Feb,120,149,115
E2,SCBI,G+,1-Feb,120,21.5,21
E3,LOCA,G-,1-Feb,120,52.5,35
E4,SCBI,G+,1-Feb,120,40,27
F2,SCBI,G+,1-Feb,120,26,32
F3,DICI,G+,1-Feb,120,85.5,80
F4,LOCA,G+,1-Feb,120,56.5,18
A1,DICI,G-,8-Feb,127,175,131
A2,SCBI,G-,8-Feb,127,59.5,36
A3,LOCA,G-,8-Feb,127,53.5,50
A4,LOCA,G+,8-Feb,127,27.5,29
B1,DICI,G+,8-Feb,127,158.5,114
B2,SCBI,G-,8-Feb,127,56.5,40
B3,LOCA,G+,8-Feb,127,55.5,35
B4,DICI,G-,8-Feb,127,124.5,121
C1,SCBI,G+,8-Feb,127,36.5,31
C2,DICI,G-,8-Feb,127,161.5,107
C3,LOCA,G-,8-Feb,127,61,56
C4,SCBI,G-,8-Feb,127,63,27
D1,LOCA,G-,8-Feb,127,65.5,30
D2,DICI,G+,8-Feb,127,126.5,109
D3,SCBI,G-,8-Feb,127,49.5,41
D4,LOCA,G+,8-Feb,127,57.5,36
E1,DICI,G-,8-Feb,127,157.5,123
E2,SCBI,G+,8-Feb,127,21.5,21
E3,LOCA,G-,8-Feb,127,57,44
E4,SCBI,G+,8-Feb,127,40,27
F2,SCBI,G+,8-Feb,127,29,32
F3,DICI,G+,8-Feb,127,91,84
F4,LOCA,G+,8-Feb,127,56.5,18
A1,DICI,G-,15-Feb,134,186,137
A2,SCBI,G-,15-Feb,134,59.5,37
A3,LOCA,G-,15-Feb,134,59,54
A4,LOCA,G+,15-Feb,134,32,30
B1,DICI,G+,15-Feb,134,169.5,118
B2,SCBI,G-,15-Feb,134,56.5,40
B3,LOCA,G+,15-Feb,134,55.5,35
B4,DICI,G-,15-Feb,134,151.5,128
C1,SCBI,G+,15-Feb,134,36.5,31
C2,DICI,G-,15-Feb,134,163,113
C3,LOCA,G-,15-Feb,134,61,56
C4,SCBI,G-,15-Feb,134,63,27
D1,LOCA,G-,15-Feb,134,65.5,30
D2,DICI,G+,15-Feb,134,129,113
D3,SCBI,G-,15-Feb,134,52.5,41
D4,LOCA,G+,15-Feb,134,57.5,36
E1,DICI,G-,15-Feb,134,161.5,132
E2,SCBI,G+,15-Feb,134,21.5,21
E3,LOCA,G-,15-Feb,134,65.5,50
E4,SCBI,G+,15-Feb,134,40,27
F2,SCBI,G+,15-Feb,134,29,32
F3,DICI,G+,15-Feb,134,93.5,87
F4,LOCA,G+,15-Feb,134,56.5,18
A1,DICI,G-,22-Feb,141,192.5,144
A2,SCBI,G-,22-Feb,141,59.5,38
A3,LOCA,G-,22-Feb,141,61,69
A4,LOCA,G+,22-Feb,141,32,30
B1,DICI,G+,22-Feb,141,175,125
B2,SCBI,G-,22-Feb,141,56.5,40
B3,LOCA,G+,22-Feb,141,55.5,35
B4,DICI,G-,22-Feb,141,154.5,135
C1,SCBI,G+,22-Feb,141,36.5,31
C2,DICI,G-,22-Feb,141,167,121
C3,LOCA,G-,22-Feb,141,61,57
C4,SCBI,G-,22-Feb,141,63,27
D1,LOCA,G-,22-Feb,141,65.5,30
D2,DICI,G+,22-Feb,141,132.5,119
D3,SCBI,G-,22-Feb,141,52.5,45
D4,LOCA,G+,22-Feb,141,57.5,36
E1,DICI,G-,22-Feb,141,167.5,140
E2,SCBI,G+,22-Feb,141,21.5,21
E3,LOCA,G-,22-Feb,141,69.5,65
E4,SCBI,G+,22-Feb,141,40,27
F2,SCBI,G+,22-Feb,141,29,32
F3,DICI,G+,22-Feb,141,96.5,92
F4,LOCA,G+,22-Feb,141,56.5,18
A1,DICI,G-,Feb-29,148,159.5,150
A2,SCBI,G-,Feb-29,148,59.5,38
A3,LOCA,G-,Feb-29,148,66,84
A4,LOCA,G+,Feb-29,148,52.5,31
B1,DICI,G+,Feb-29,148,180,130
B2,SCBI,G-,Feb-29,148,56.5,40
B3,LOCA,G+,Feb-29,148,55.5,35
B4,DICI,G-,Feb-29,148,165,140
C1,SCBI,G+,Feb-29,148,36.5,31
C2,DICI,G-,Feb-29,148,183,125
C3,LOCA,G-,Feb-29,148,61,57
C4,SCBI,G-,Feb-29,148,63,27
