"Bin","Day","GWC","Depth"
13,26,12.84544567,30
13,26,NA,10
13,27,12.79117067,30
13,27,NA,10
13,28,12.83848733,30
13,28,NA,10
13,29,12.95538733,30
13,29,NA,10
13,30,12.91475067,30
13,30,NA,10
13,31,12.73160733,30
13,31,NA,10
13,32,12.77697567,30
13,32,NA,10
13,33,12.82763233,30
13,33,NA,10
13,34,12.826519,30
13,34,NA,10
13,35,12.71518567,30
13,35,NA,10
13,36,12.94119233,30
13,36,NA,10
13,37,13.02636233,30
13,37,NA,10
13,38,12.95483067,30
13,38,NA,10
13,39,12.82429233,30
13,39,NA,10
13,40,13.05475233,30
13,40,NA,10
13,41,13.20449567,30
13,41,NA,10
13,42,13.09566733,30
13,42,NA,10
13,43,12.878289,30
13,43,NA,10
13,44,13.12517067,30
13,44,NA,10
13,45,13.17777567,30
13,45,NA,10
13,46,12.89610233,30
13,46,NA,10
13,47,12.889144,30
13,47,NA,10
13,48,12.99240567,30
13,48,NA,10
13,49,13.132964,30
13,49,NA,10
13,50,13.03833067,30
13,50,NA,10
13,51,12.90612233,30
13,51,NA,10
13,52,13.073679,30
13,52,NA,10
13,53,13.23010233,30
13,53,NA,10
13,54,13.15940567,30
13,54,NA,10
13,55,12.99073567,30
13,55,NA,10
13,56,13.14020067,30
13,56,NA,10
13,57,13.325849,30
13,57,NA,10
13,58,13.06171067,30
13,58,NA,10
13,59,12.89554567,30
13,59,NA,10
13,60,13.052804,30
13,60,NA,10
13,61,13.228989,30
13,61,NA,10
13,62,13.167199,30
13,62,NA,10
13,63,12.94954233,30
13,63,NA,10
13,64,13.082864,30
13,64,NA,10
13,65,13.155509,30
13,65,NA,10
13,66,13.03972233,30
13,66,NA,10
13,67,12.964294,30
13,67,NA,10
13,68,12.93618233,30
13,68,NA,10
13,69,13.02970233,30
13,69,NA,10
13,70,13.08815233,30
13,70,NA,10
13,71,12.951769,30
13,71,NA,10
13,72,13.19364067,30
13,72,NA,10
13,73,13.231494,30
13,73,NA,10
13,74,13.23622567,30
13,74,NA,10
13,75,13.06059733,30
13,75,NA,10
13,76,13.53265067,30
13,76,NA,10
13,77,13.46640733,30
13,77,NA,10
13,78,13.289944,30
13,78,NA,10
13,79,13.16942567,30
13,79,NA,10
13,80,13.00131233,30
13,80,NA,10
13,81,12.87801067,30
13,81,NA,10
13,82,13.31221067,30
13,82,NA,10
13,83,13.26712067,30
13,83,NA,10
13,84,13.24457567,30
13,84,NA,10
13,85,13.208949,30
13,85,NA,10
13,86,13.14493233,30
13,86,NA,10
13,87,13.08731733,30
13,87,NA,10
13,88,12.92143067,30
13,88,NA,10
13,89,13.51984733,30
13,89,NA,10
13,90,13.475314,30
13,90,NA,10
13,91,13.24457567,30
13,91,NA,10
13,92,13.07896733,30
13,92,NA,10
13,93,13.38958733,30
13,93,NA,10
13,94,13.52569233,30
13,94,NA,10
13,95,13.437739,30
13,95,NA,10
13,96,13.27213067,30
13,96,NA,10
13,97,13.05252567,30
13,97,NA,10
13,98,13.13073733,30
13,98,NA,10
13,99,13.32891067,30
13,99,NA,10
13,100,13.233999,30
13,100,NA,10
13,101,12.626119,30
13,101,NA,10
13,102,13.028589,30
13,102,NA,10
13,103,12.98823067,30
13,103,NA,10
13,104,12.78588233,30
13,104,NA,10
13,105,13.52263067,30
13,105,NA,10
13,106,13.466964,30
13,106,NA,10
13,107,13.49758067,30
13,107,NA,10
13,108,13.12823233,30
13,108,NA,10
13,109,12.59411067,30
13,109,NA,10
13,110,11.39143233,30
13,110,NA,10
13,111,13.360084,30
13,111,NA,10
14,0,10.79941733,30
14,0,8.877093331,10
14,1,10.33098233,30
14,1,8.334103969,10
14,2,10.11499567,30
14,2,7.956144731,10
14,3,10.880969,30
14,3,9.231103075,10
14,4,10.97226233,30
14,4,8.949948094,10
14,5,10.53555733,30
14,5,8.435335863,10
14,6,10.30092233,30
14,6,8.040269844,10
14,7,10.430069,30
14,7,9.116387013,10
14,8,10.76768733,30
14,8,9.064060388,10
14,9,10.35937233,30
14,9,8.4494238,10
14,10,10.17734233,30
14,10,8.123187419,10
14,11,10.95806733,30
14,11,9.218625188,10
14,12,11.081369,30
14,12,9.043733506,10
14,13,10.46569567,30
14,13,8.461297919,10
14,14,10.32207567,30
14,14,8.097829131,10
14,15,11.16848733,30
14,15,9.379026419,10
14,16,11.18129067,30
14,16,9.098877719,10
14,17,10.560329,30
14,17,8.488870025,10
14,18,10.28255233,30
14,18,8.156797213,10
14,19,10.23746233,30
14,19,7.936421619,10
14,20,10.16481733,30
14,20,8.342757988,10
14,21,10.91798733,30
14,21,9.469591731,10
14,22,10.510229,30
14,22,8.698780294,10
14,23,10.41865733,30
14,23,8.290833875,10
14,24,10.64271567,30
14,24,8.638403419,10
14,25,11.62105733,30
14,25,9.767048469,10
14,26,11.08443067,30
14,26,8.874477,10
14,27,10.66414733,30
14,27,8.338732863,10
14,28,11.300974,30
14,28,9.372183706,10
14,29,11.45684067,30
14,29,9.184009113,10
14,30,10.76629567,30
14,30,8.525699919,10
14,31,10.50466233,30
14,31,8.136470331,10
14,32,11.082204,30
14,32,9.103909125,10
14,33,11.26200733,30
14,33,9.314221906,10
14,34,10.742359,30
14,34,8.683082306,10
14,35,10.45066567,30
14,35,8.235085894,10
14,36,11.255884,30
14,36,9.500585194,10
14,37,11.24614233,30
14,37,9.161468413,10
14,38,10.64744733,30
14,38,8.558102175,10
14,39,10.41977067,30
14,39,8.18376555,10
14,40,11.24308067,30
14,40,9.371177425,10
14,41,11.29290233,30
14,41,9.224260363,10
14,42,10.68697067,30
14,42,8.617674025,10
14,43,10.46402567,30
14,43,8.181149219,10
14,44,11.09751233,30
14,44,9.558144481,10
14,45,11.41926567,30
14,45,9.323882206,10
14,46,10.740689,30
14,46,8.752918225,10
14,47,10.72120567,30
14,47,8.348191906,10
14,48,10.668879,30
14,48,9.273165631,10
14,49,11.00983733,30
14,49,9.338976425,10
14,50,10.55142233,30
14,50,8.673623263,10
14,51,10.33627067,30
14,51,8.230255744,10
14,52,11.12117067,30
14,52,9.6408608,10
14,53,11.39894733,30
14,53,9.406598525,10
14,54,10.75377067,30
14,54,8.709849388,10
14,55,10.48156067,30
14,55,8.327663769,10
14,56,11.13675733,30
14,56,9.371781194,10
14,57,11.43179067,30
14,57,9.47824575,10
14,58,10.509394,30
14,58,8.642831056,10
14,59,10.38386567,30
14,59,8.185174344,10
14,60,10.850909,30
14,60,8.840464694,10
14,61,11.462964,30
14,61,9.620332663,10
14,62,10.67695067,30
14,62,8.796792088,10
14,63,10.42812067,30
14,63,8.427084356,10
14,64,11.360259,30
14,64,9.61026985,10
14,65,11.38642233,30
14,65,9.352863106,10
14,66,10.69504233,30
14,66,8.73118255,10
14,67,10.47989067,30
14,67,8.255614031,10
14,68,11.21552567,30
14,68,9.432761838,10
14,69,11.19019733,30
14,69,9.41706385,10
14,70,10.848404,30
14,70,8.672616981,10
14,71,10.50661067,30
14,71,8.309953219,10
14,72,10.811664,30
14,72,9.50722665,10
14,73,11.062999,30
14,73,9.422699025,10
14,74,10.75878067,30
14,74,8.838653388,10
14,75,10.508559,30
14,75,8.343563013,10
14,76,11.59879067,30
14,76,9.761413294,10
14,77,11.48439567,30
14,77,9.474421881,10
14,78,10.83532233,30
14,78,8.837043338,10
14,79,10.58844067,30
14,79,8.317198444,10
14,80,10.44120233,30
14,80,7.877453538,10
14,81,10.21018567,30
14,81,7.467494556,10
14,82,11.70984567,30
14,82,9.591754275,10
14,83,11.225824,30
14,83,9.08539355,10
14,84,11.60268733,30
14,84,9.983600194,10
14,85,11.70567067,30
14,85,9.597188194,10
14,86,11.05771067,30
14,86,8.939080256,10
14,87,10.65412733,30
14,87,8.412996419,10
14,88,10.535279,30
14,88,8.085149988,10
14,89,11.69899067,30
14,89,9.795626856,10
