Site,Plot,Sp,Ht,Dam,X,Y
BIR,1,acator,4.1,2,1.50725,48.00545809
BIR,1,acator,5.9,3,10.756,26.87947959
BIR,1,acator,0.5,4,6.859,16.69903727
BIR,1,acator,3.4,NA,12.46375,15.12663003
BIR,1,balaeg,4.8,1,4.69025,11.58669733
BIR,1,balaeg,4.1,2,1.279,9.514418479
BIR,1,corova,0.65,2,5.60625,28.82973876
BIR,1,corova,0.85,3,10.5,27.09170456
BIR,1,corova,0.4,5,1.103,24.42377293
BIR,1,dovmac,0.55,7,4.01225,24.61512557
BIR,1,grebic,0.75,1,12.22,15.4519125
BIR,1,ormtri,0.4,0,5.36,5.387986637
BIR,1,ormtri,0.5,0,5.56,30.58025747
BIR,1,ormtri,0.4,0,6.11875,4.837447513
BIR,1,ormtri,0.5,0,6.8363125,25.1740593
BIR,1,ormtri,0.45,0,8.75525,33.70289604
BIR,1,ormtri,0.5,0,8.8645625,7.088161375
BIR,1,ormtri,0.55,0,17.06475,14.19979956
BIR,1,ormtri,0.3,0,17.8605625,15.65448202
BIR,1,ormtri,2.7,1,11.5288125,0.699272722
BIR,1,ormtri,0.5,1,11.71475,35.0412356
BIR,1,ormtri,0.3,1,12.06325,33.1783473
BIR,1,ormtri,0.4,2,1.5016875,9.177959177
BIR,1,ormtri,0.2,2,8.64,24.7365798
BIR,1,ormtri,0.7,2,10.556,24.06602877
BIR,1,ormtri,0.5,2,15.03025,13.94064507
BIR,1,ormtri,0.5,3,9.025,33.28026989
BIR,1,ormtri,0.3,3,17.15375,9.482028313
BIR,1,ormtri,0.8,4,16.01325,35.95486474
BIR,1,ormtri,0.3,5,12.97075,5.779242549
BIR,1,ormtri,0.25,5,17.562,15.91433806
BIR,2,acadre,4.4,0,17.3475625,46.24173241
BIR,2,acarob,6.8,0,6.175,11.21201922
BIR,2,acarob,6.1,0,8.81425,24.35403451
BIR,2,acasen,0.5,0,14.86475,18.31342228
BIR,2,acasen,1,NA,10.9173125,23.61980311
BIR,2,acator,6.6,0,11.23,22.44765244
BIR,2,acator,6.8,0,14.71025,45.11547905
BIR,2,acator,1.65,1,3.84475,9.014316249
BIR,2,albhar,0.53,1,15.152,4.478492604
BIR,2,albhar,0.58,2,8.98,1.999899997
BIR,2,albhar,0.9,2,11.39,24.09328465
BIR,2,albhar,0.63,3,6.228,37.35001913
BIR,2,albhar,3.04,7,7.498,24.16610761
BIR,2,balaeg,0.9,2,14,11.46430226
BIR,2,balaeg,1.5,5,6.59625,33.57503467
BIR,2,balaeg,2.7,5,10.35175,1.000635767
BIR,2,balaeg,4.1,7,5.02525,0.869978412
BIR,2,bosang,0.78,1,1.735,8.627269267
BIR,2,bosang,0.68,2,3.54025,11.36118964
BIR,2,bosang,0.48,2,3.974,7.513808888
BIR,2,comtro,0.95,0,5.614,26.56299925
BIR,2,comtro,2.7,1,4.88125,11.50753659
BIR,2,comtro,1.54,2,8.152,8.531406449
BIR,2,comtro,1.38,2,8.33825,10.36164017
BIR,2,comtro,1.15,7,11.1,50
BIR,2,ormtri,0.85,1,10.09425,34.02138564
BIR,2,ormtri,0.66,4,8.7465625,18.12838027
BIR,3,acadre,0.27,0,7.60625,33.79645221
BIR,3,acadre,0.23,0,10.246,22.47464091
BIR,3,acadre,4.6,4,17.83,24.00210616
BIR,3,acadre,2.7,4,18.1,23.92467346
BIR,3,acasen,0.35,0,9.66625,19.87394301
BIR,3,acasen,5.6,0,9.68875,42.58595094
BIR,3,acasen,3.9,0,17.68625,47.24200056
BIR,3,acasen,0.24,0,18.83325,15.35573816
BIR,3,acasen,0.2,0,20.10525,20.1997258
BIR,3,acasen,5.3,1,13.503,44.99710174
BIR,3,acasen,5.7,2,3.54,31.90420662
BIR,3,acasen,7.1,2,10.371,35.72509425
BIR,3,acasen,1.7,4,17.3490625,40.77327087
BIR,3,acasen,4.9,6,6.83175,19.22204963
BIR,3,acasen,5.1,6,15.166,6.499418743
BIR,3,acasen,5.4,7,19.12175,11.66699091
BIR,3,acasen,5.1,8,3.098,44.74525015
BIR,3,acator,0.4,0,6.64,13.22688172
BIR,3,acator,5.8,0,17.191,39.77896683
BIR,3,acator,5.1,2,9.51475,30.76214447
BIR,3,acator,6.5,6,0.184,44.20291936
BIR,3,acator,6.6,6,0.85825,45.7865208
BIR,3,albhar,0.27,2,9.53625,15.61889676
BIR,3,albhar,0.21,2,12.18225,11.12846732
BIR,3,balaeg,0.15,3,20.0515625,18.59992853
BIR,3,balaeg,2.7,5,16.05275,37.08995672
BIR,3,comtro,0.42,1,9.05225,45.0860637
BIR,3,comtro,0.25,1,10.35525,48.26253131
BIR,3,comtro,0.17,4,21.04675,16.26635529
BIR,3,grebic,0.45,0,0.797,37.62563977
BIR,3,lanhum,0.36,0,11.616,1.399479903
BIR,3,ormtri,0.3,0,9.10625,40.58266434
BIR,3,ormtri,0.29,0,9.208,41.39925957
BIR,3,ormtri,0.2,0,10.25725,36.06878245
BIR,3,ormtri,0.26,0,16.69125,22.35647945
BIR,3,ormtri,0.2,1,19.15875,17.27953409
BIR,3,ormtri,0.2,1,19.4370625,17.79109613
BIR,4,acager,5.15,3,11.77,33.91573529
BIR,4,acager,3.2,5,1.58625,29.05673435
BIR,4,acager,3.5,5,12.8771875,33.29666713
BIR,4,acarob,4.9,0,1.49975,7.85816454
BIR,4,acarob,4.7,0,1.60525,8.347045731
BIR,4,acarob,5.4,0,7.162,7.949575838
BIR,4,acarob,5.1,0,8.2,28.23331366
BIR,4,acarob,5.3,0,16.507,21.11300431
BIR,4,acarob,5.3,0,16.888,11.79641708
BIR,4,acarob,5.5,0,18.20725,12.87579308
BIR,4,acarob,4.1,1,3.51775,27.77814672
BIR,4,acarob,4.7,1,3.53125,26.26366832
BIR,4,acarob,5.8,1,3.76,2.285257097
BIR,4,acarob,4.6,1,5.515,16.29186223
BIR,4,acarob,4.5,2,1.38375,40.50025074
BIR,4,acarob,4.5,2,4.1291875,3.929352439
BIR,4,acarob,5.4,2,10.565,5.25554707
BIR,4,acarob,5.8,2,11.91025,9.919473017
BIR,4,acarob,4.7,2,18.46075,34.9786582
BIR,4,acarob,3.9,5,16.86375,9.178994277
BIR,4,acasen,0.3,0,1.01325,12.25819418
BIR,4,acasen,0.25,0,2.17075,46.88105075
BIR,4,acasen,3.3,3,15.202,28.49893324
BIR,4,acasen,3,7,7.26625,43.27604202
BIR,4,acasen,NA,NA,11.183,36.40954339
BIR,4,acator,4.4,6,11.17,6.043268983
BIR,4,acator,2.6,7,11.71825,6.290676986
BIR,4,balaeg,0.53,3,1.1170625,3.474862784
BIR,4,comtro,0.6,0,0.62875,12.58430266
BIR,4,comtro,0.9,0,5,50
BIR,4,comtro,0.17,0,6.03025,49.08017125
BIR,4,comtro,0.25,0,7.4,47.23413666
BIR,4,comtro,0.25,0,8.82125,47.76492764
BIR,4,comtro,0.19,0,11.1475625,3.714074623
BIR,4,comtro,0.33,0,11.482,44.5728759
BIR,4,comtro,3.1,0,12.656,31.55670553
BIR,4,comtro,0.3,0,17.257,44.21761719
BIR,4,comtro,3.9,1,15.523,23.7822722
BIR,4,ormtri,0.15,0,4.45575,37.57477196
BIR,4,ormtri,0.15,0,9.24625,49.00157076
BIR,4,ormtri,0.25,0,9.52975,46.96951078
BIR,4,ormtri,0.1,0,10.2,50
BIR,4,ormtri,0.2,3,0.744,12.57801511
BIR,4,ormtri,2.2,4,13.1093125,35.22812044
BIR,4,ormtri,NA,NA,12.87875,37.14007005
BIR,4,unk,0.95,2,17.34825,44.17520628
KIR,1,acager,7.2,0,15.776,10.58857044
KIR,1,acager,5.4,0,16.1915,16.8243225
KIR,1,acager,5.9,1,1.7716875,14.59284494
KIR,1,acager,5.9,1,6.68139,6.029844747
KIR,1,acager,5.4,2,2.44,13.58257708
KIR,1,acager,5.4,2,5.39725,12.15564447
KIR,1,acager,3.7,2,6.4049375,10.61775756
KIR,1,acager,2.7,2,10.22275,10.97703887
KIR,1,acager,2.7,3,3.032,17.18457087
KIR,1,acasen,2.2,3,7.624,19.02957235
KIR,1,acasen,4,3,19.4977525,6.801481269
KIR,1,acasen,5.9,4,NA,NA
KIR,1,acasen,4.9,NA,13.17775,4.727251309
KIR,1,acasen,4.9,NA,NA,NA
KIR,1,comafr,2.4,2,2.8041875,41.60601212
KIR,1,comafr,2.9,2,10.51009,2.889291988
KIR,1,comafr,4.6,3,2.8775,16.60248457
KIR,1,comafr,0.7,3,10.22,4.581659088
KIR,1,comtro,4.4,1,12.73375,32.55260447
KIR,1,comtro,4.9,2,9.42,39.50840336
KIR,1,comtro,0.6,2,12.80125,18.0149382
KIR,1,comtro,0.72,2,17.869,13.83686522
KIR,1,comtro,0.6,2,18.364,16.21769108
KIR,1,comtro,0.72,2,18.64,13.12975247
