ID,X,Y,MAP,Dry_ratio,Fire,Elev.mn,Elev.sd,Slope.mn,Slope.sd,Curvat.mn,Curvat.sd,WCI
101,806346.8444,9671900.222,1018.603,0.3246223,0.076923077,2356.222,3.192874,2.5200806,0.76512675,-0.001303312,0.08487808,0
102,733587.0667,9671730.889,723.1776,0.2358665,0,1627.5,1.0488088,0.4687478,0.24248513,-0.003909938,0.041746714,0.010393028
103,733086.4667,9671298.333,725.5237,0.2357789,0,1620.5,1.6431677,0.9863982,0.29322329,0.005864907,0.043731918,0.171858471
104,714193.8111,9670830.889,826.7941,0.2432917,0.076923077,1611.667,1.5811388,1.1506275,0.88922536,0.018246378,0.053467599,0.085159686
105,725177.1222,9669634.889,777.8016,0.2342448,0.076923077,1629,1.1547005,0.6578981,0.19110847,-0.032256989,0.041054349,0.110605366
106,716285.9222,9669238.667,822.4858,0.2386228,0.076923077,1630.167,0.9831921,0.5063128,0.1780157,-0.001954969,0.04657588,0.20758513
107,726285.4444,9668303.222,775.9196,0.2335206,0,1631,0,0.4530111,0.25940899,-0.023459628,0.021415613,0.092133803
108,718710.6111,9667754.556,814.6996,0.2368971,0.076923077,1631,0,0.6030249,0.20137481,0.005864907,0.033861057,0.130445349
109,732816.9111,9667816.667,727.8064,0.2320461,0,1608.25,0.9574271,1.4282434,0.36689201,-0.008797361,0.045303006,0.118620871
110,729473.6889,9666827.333,756.2405,0.2316249,0,1617.5,2.0736441,1.6173526,0.13866522,-0.009774845,0.04091447,0.059677985
111,719416.3222,9666317.667,811.527,0.2365646,0,1613.167,4.833908,2.7453462,0.53094406,0.007819876,0.076258828,0.053010857
112,733719.9222,9665580.333,739.5129,0.2281807,0,1622.333,1.4142136,0.9620288,0.37713709,0.006516563,0.05216508,0.257191964
113,771944.2,9665780.556,563.3806,0.2467172,0,1305,1.3228757,0.6362025,0.32729911,0.003909938,0.050451838,0.125040341
114,774288.1333,9665511.111,565.2566,0.2460475,0,1292,1.4142136,0.3029948,0.14828097,-0.002932454,0.07126928,0.042196646
